player,team,league,season,matches,minutes,goals,assists,xg,xa,shots,shots_on,key_passes,yellow_cards,red_cards,rating_avg,goals_90,assists_90,g_a_90,xg_90,xa_90,x_g_a_90,shots_90,shots_on_90,key_passes_90,copamundial_mp,copamundial_starts,copamundial_min,copamundial_gls,copamundial_ast,ajuste_tatico,experiencia_selecao
Raphinha,FC Barcelona,La Liga,2025/2026,22,1388,13,3,10.36,5.81,66,24,44.0,,,7.85,0.843,0.195,1.037,0.672,0.377,1.048,4.28,1.56,2.85,2,2,129,0,0,10.0,10
Luiz Henrique,Zenit,Russian Premier League,2025/2026,28,2023,6,3,,,51,15,,2.0,0.0,7.22,0.267,0.133,0.4,,,,2.27,0.67,,1,0,29,0,0,8.96,8
Rayan,Bournemouth,Premier League,2025/2026,15,1119,5,2,2.91,1.82,29,8,14.0,,,6.56,0.402,0.161,0.563,0.234,0.146,0.38,2.33,0.64,1.13,1,0,51,0,0,7.31,4
Endrick,Olympique Lyonnais,Ligue 1,2025/2026,16,1222,5,7,6.56,3.23,50,26,30.0,,,7.47,0.368,0.516,0.884,0.483,0.238,0.721,3.68,1.91,2.21,1,0,27,0,0,7.4,6
